Ax,Ay,Az
511,-437,15641
511,-436,15641
511,-437,15642
511,-439,15642
511,-438,15644
511,-438,15647
511,-437,15645
511,-438,15646
511,-435,15647
511,-433,15646
511,-431,15647
511,-428,15646
511,-430,15647
511,-433,15649
511,-433,15645
511,-437,15644
511,-436,15644
511,-434,15641
511,-431,15643
511,-433,15642
511,-435,15642
511,-431,15645
511,-432,15645
511,-434,15645
511,-434,15648
511,-432,15648
511,-433,15647
511,-432,15648
511,-432,15642
511,-434,15639
511,-430,15642
511,-430,15643
511,-431,15643
511,-431,15642
511,-429,15642
511,-427,15642
511,-428,15643
511,-427,15642
511,-426,15898
256,-427,15642
511,-428,15645
511,-428,15646
511,-430,15644
511,-431,15641
511,-431,15642
511,-431,15643
511,-431,15646
511,-430,15647
511,-428,15646
511,-428,15647
511,-425,15643
511,-423,15646
511,-420,15644
511,-419,15645
511,-421,15647
511,-421,15650
511,-424,15651
511,-425,15650
511,-428,15650
511,-426,15647
511,-426,15646
511,-425,15645
511,-423,15644
511,-423,15643
511,-423,15640
511,-421,15641
511,-418,15641
511,-418,15645
511,-419,15646
511,-422,15644
511,-423,15643
511,-424,15642
511,-427,15642
511,-427,15642
511,-428,15641
511,-429,15642
511,-428,15642
511,-426,15642
511,-427,15642
511,-427,15644
511,-426,15646
511,-426,15644
511,-427,15644
511,-429,15643
511,-426,15641
511,-425,15640
511,-427,15642
511,-429,15638
511,-426,15640
511,-426,15643
511,-426,15641
511,-429,15640
511,-427,15640
511,-427,15642
511,-423,15643
511,-425,15643
511,-425,15646
511,-429,15645
511,-428,15645
511,-428,15643
511,-426,15649
511,-426,15648
511,-429,15645
511,-429,15644
511,-431,15641
511,-430,15640
511,-431,15638
511,-432,15640
511,-427,15642
511,-425,15643
511,-424,15641
511,-426,15640
511,-428,15639
511,-425,15640
511,-425,15640
511,-430,15639
511,-431,15639
511,-432,15639
511,-430,15634
511,-428,15630
511,-427,15634
511,-425,15636
511,-429,15633
511,-430,15634
511,-430,15636
511,-432,15638
511,-429,15638
511,-428,15638
511,-427,15638
511,-426,15638
511,-427,15636
511,-426,15638
511,-425,15640
511,-424,15638
511,-426,15637
511,-427,15636
511,-429,15637
511,-431,15637
511,-430,15642
511,-431,15646
511,-429,15649
511,-429,15646
511,-429,15645
511,-430,15643
511,-431,15645
511,-433,15644
511,-435,15643
511,-437,15643
511,-438,15643
511,-440,15644
511,-441,15644
511,-439,15641
511,-436,15639
511,-437,15638
511,-434,15641
511,-432,15643
511,-429,15644
511,-428,15646
511,-428,15648
511,-429,15646
511,-430,15644
511,-431,15645
511,-431,15647
511,-426,15648
511,-422,15648
511,-418,15648
511,-418,15648
511,-416,15646
511,-417,15648
511,-417,15646
511,-416,15648
511,-415,15644
511,-418,15646
511,-418,15644
511,-418,15644
511,-423,15643
511,-422,15643
511,-421,15641
511,-421,15638
511,-423,15639
511,-422,15640
511,-425,15638
511,-427,15639
511,-424,15640
511,-421,15639
511,-421,15636
511,-421,15638
511,-419,15638
511,-417,15640
511,-416,15639
511,-418,15640
511,-419,15642
511,-418,15644
511,-418,15644
511,-417,15642
511,-416,15640
511,-415,15639
511,-414,15640
511,-417,15638
511,-419,15640
511,-418,15639
511,-418,15637
511,-420,15637
511,-420,15636
511,-422,15638
511,-424,15640
511,-422,15642
511,-422,15644
511,-420,15648
511,-421,15650
511,-424,15650
511,-421,15652
511,-421,15651
511,-423,15650
511,-425,15648
511,-426,15646
511,-426,15645
511,-428,15643
511,-432,15641
511,-433,15643
511,-432,15643
511,-429,15641
511,-428,15640
511,-428,15639
511,-426,15639
511,-429,15641
511,-432,15644
511,-432,15647
511,-430,15646
511,-431,15650
511,-431,15652
511,-430,15652
511,-431,15649
511,-431,15646
511,-429,15646
511,-430,15644
511,-431,15644
511,-431,15644
511,-431,15646
511,-431,15649
511,-428,15650
511,-428,15649
511,-430,15647
511,-431,15644
511,-430,15644
511,-432,15642
511,-432,15642
511,-430,15643
511,-431,15642
511,-425,15642
511,-426,15642
511,-429,15642
511,-429,15642
511,-429,15645
511,-427,15645
511,-425,15646
511,-426,15647
511,-430,15645
511,-431,15645
511,-432,15647
511,-433,15646
511,-431,15645
511,-431,15644
511,-430,15644
511,-430,15642
511,-430,15643
511,-432,15645
511,-430,15644
511,-430,15642
511,-432,15639
511,-432,15637
511,-426,15636
511,-422,15639
511,-418,15639
511,-418,15641
511,-421,15641
511,-424,15643
511,-422,15643
511,-421,15641
511,-425,15642
511,-427,15640
511,-424,15639
511,-420,15637
511,-420,15637
511,-421,15637
511,-421,15637
511,-421,15637
511,-419,15640
511,-420,15642
511,-416,15642
511,-414,15643
511,-417,15645
511,-418,15642
511,-421,15638
511,-421,15637
511,-421,15639
511,-421,15642
511,-420,15642
511,-420,15642
511,-420,15644
511,-417,15643
511,-415,15641
511,-416,15641
511,-416,15643
511,-414,15645
511,-415,15641
511,-417,15641
511,-419,15641
511,-420,15642
511,-421,15641
511,-422,15643
511,-420,15642
511,-418,15641
511,-420,15640
511,-418,15641
511,-419,15642
511,-417,15641
511,-415,15642
511,-417,15640
511,-415,15642
511,-420,15641
511,-420,15638
511,-421,15635
511,-420,15634
511,-421,15889
256,-422,15635
511,-424,15635
511,-424,15896
256,-423,15641
511,-424,15641
511,-426,15643
511,-423,15642
511,-425,15640
511,-427,15638
511,-425,15638
511,-424,15641
511,-422,15643
511,-420,15641
511,-423,15642
511,-423,15645
511,-424,15644
511,-421,15644
511,-423,15647
511,-424,15649
511,-424,15650
511,-424,15650
511,-427,15649
511,-429,15648
511,-429,15647
511,-426,15648
511,-424,15648
511,-424,15649
511,-422,15648
511,-421,15648
511,-419,15649
511,-422,15646
511,-421,15647
511,-425,15644
511,-425,15642
511,-424,15643
511,-421,15642
511,-419,15642
511,-418,15641
511,-420,15643
511,-423,15643
511,-420,15640
511,-419,15638
511,-420,15638
511,-421,15638
511,-423,15637
511,-423,15638
511,-424,15640
511,-427,15639
511,-431,15639
511,-434,15640
511,-432,15640
511,-431,15640
511,-431,15640
511,-431,15641
511,-430,15642
511,-428,15645
511,-428,15645
511,-427,15647
511,-426,15645
511,-428,15644
511,-430,15644
511,-428,15642
511,-427,15640
511,-426,15641
511,-428,15640
511,-426,15638
511,-424,15637
511,-423,15636
511,-419,15639
511,-416,15640
511,-416,15641
511,-414,15642
511,-415,15646
511,-416,15645
511,-416,15643
511,-415,15645
511,-412,15643
511,-412,15644
511,-415,15644
511,-416,15643
511,-420,15640
511,-424,15638
511,-424,15637
511,-424,15635
511,-424,15635
511,-425,15638
511,-424,15640
511,-424,15638
511,-424,15639
511,-425,15638
511,-426,15639
511,-428,15640
511,-433,15642
511,-433,15644
511,-432,15642
511,-430,15642
511,-429,15643
511,-428,15643
511,-428,15642
511,-429,15644
511,-428,15646
511,-430,15647
511,-428,15646
511,-428,15646
511,-428,15644
511,-428,15641
511,-432,15641
511,-431,15642
511,-432,15640
511,-429,15638
511,-427,15636
511,-423,15633
511,-427,15634
511,-431,15634
511,-430,15632
511,-430,15632
511,-432,15632
511,-428,15631
511,-430,15633
511,-433,15634
511,-431,15633
511,-432,15632
511,-426,15633
511,-426,15632
511,-429,15635
511,-429,15635
511,-427,15638
511,-425,15638
511,-425,15637
511,-426,15634
511,-428,15632
511,-426,15630
511,-424,15628
511,-425,15625
511,-427,15625
511,-425,15626
511,-422,15628
511,-423,15627
511,-423,15629
511,-420,15634
511,-419,15634
511,-416,15632
511,-416,15631
511,-417,15633
511,-418,15634
511,-423,15635
511,-419,15637
511,-417,15637
511,-418,15636
511,-418,15637
511,-418,15642
511,-415,15643
511,-416,15641
511,-420,15636
511,-419,15637
511,-419,15640
511,-422,15639
511,-420,15639
511,-419,15640
511,-422,15643
511,-421,15899
256,-422,15900
256,-418,15903
256,-416,15646
511,-418,15648
511,-420,15646
511,-420,15646
511,-420,15646
511,-420,15645
511,-418,15649
511,-422,15649
511,-421,15648
511,-420,15646
511,-421,15648
511,-418,15650
511,-418,15650
511,-418,15651
511,-418,15651
511,-421,15650
511,-422,15650
511,-422,15652
511,-422,15649
511,-422,15650
511,-422,15651
511,-420,15647
