Ax,Ay,Az
767,-500,15700
511,-280,15708
511,-308,15680
511,-272,15700
511,-324,15656
511,-280,15960
512,-512,15736
511,-292,15912
512,-492,15644
511,-312,15716
511,-364,15636
511,-344,15708
511,-312,15928
256,-280,15980
256,-272,15924
256,-272,15740
511,-268,15912
511,-300,16056
512,-480,15668
511,-292,15636
767,-508,15716
511,-300,15684
511,-264,15716
767,-468,15944
256,-280,15952
512,-688,16124
512,-496,15688
767,-484,15908
512,-460,15692
767,-508,15696
512,-512,15972
512,-488,15656
511,-316,15672
511,-340,15956
512,-492,15648
511,-264,15928
511,-312,15944
512,-504,15648
511,-328,15956
767,-512,15660
511,-308,15736
511,-276,15668
512,-504,15664
511,-364,15664
511,-260,15688
511,-260,15680
767,-492,15936
512,-468,15640
511,-288,15724
511,-288,15660
511,-296,15660
511,-292,15672
256,-304,15960
256,-280,15720
511,-308,15932
256,-276,15644
511,-268,15692
511,-336,16008
256,-260,15744
511,-336,15772
256,-284,15716
511,-292,15688
511,-284,15732
511,-312,15936
256,-284,15916
512,-508,15716
511,-276,15692
511,-288,15680
767,-512,15644
767,-500,15756
511,-340,15672
511,-324,15676
511,-268,15676
512,-472,15940
256,-324,15784
511,-300,15632
511,-276,15900
256,-272,15644
511,-288,15944
256,-320,15696
511,-272,15640
256,-316,15652
511,-284,15624
511,-296,15680
511,-312,15640
511,-264,15628
511,-296,15688
511,-328,15940
256,-268,15676
511,-560,15864
511,-276,15676
767,-460,15652
511,-316,15708
511,-284,15644
511,-272,15940
256,-276,15980
256,-296,15648
511,-268,15944
256,-284,15648
767,-508,15648
256,-536,15868
511,-272,15700
511,-308,15668
767,-448,15640
511,-260,15944
256,-308,15616
767,-472,15948
256,-264,15724
511,-296,15664
511,-276,15892
512,-492,15672
511,-264,15636
511,-296,15756
511,-308,15916
512,-508,15684
511,-284,15652
511,-292,15980
256,-296,15960
512,-460,15708
511,-304,15688
511,-296,15672
511,-320,15676
511,-316,15632
767,-492,15672
511,-332,15672
511,-316,15700
767,-504,15900
256,-308,15960
512,-428,15680
767,-500,15704
767,-504,15628
767,-488,15704
511,-312,15880
256,-292,15672
256,-300,15924
256,-328,16004
512,-512,15640
511,-260,15960
256,-272,15984
512,-496,15664
511,-272,15972
512,-508,15708
256,-268,15660
511,-296,15672
767,-508,15996
256,-332,15892
512,-496,15984
512,-492,15704
511,-260,15996
512,-504,15972
256,-264,15700
511,-312,15664
511,-264,15952
256,-272,15664
256,-320,15672
511,-288,15668
511,-264,15936
256,-304,15976
