Ax,Ay,Az,Gx,Gy,Gz
-256,-403,15715,511,575,-74
-256,-401,15714,511,575,-72
-256,-402,15710,511,575,-71
-256,-408,15714,511,574,-72
-256,-406,15716,511,574,-72
-256,-411,15719,511,576,-72
-256,-408,15715,511,580,-74
-256,-406,15708,511,580,-73
-256,-406,15712,511,579,-72
-256,-411,15716,511,580,-73
-256,-410,15719,511,581,-76
-256,-402,15722,511,581,-76
-256,-398,15714,511,580,-76
-256,-392,15710,511,581,-73
-256,-389,15709,511,582,-76
-256,-388,15709,511,580,-75
-256,-389,15705,511,578,-72
-256,-382,15700,511,577,-69
-256,-382,15700,511,576,-71
-256,-375,15701,511,576,-74
-256,-373,15704,511,574,-74
-256,-371,15707,511,574,-76
-256,-379,15703,511,573,-75
-256,-378,15710,511,574,-75
-256,-381,15712,511,574,-77
-256,-383,15713,511,573,-78
-256,-387,15715,511,572,-79
-256,-384,15709,511,574,-81
-256,-389,15706,511,574,-81
-256,-390,15702,511,575,-80
-256,-392,15707,511,573,-81
-256,-393,15704,511,574,-81
-256,-398,15719,511,574,-82
-256,-395,15724,511,575,-81
-256,-406,15722,511,576,-81
-256,-407,15721,511,577,-80
-256,-409,15723,511,578,-81
-256,-404,15720,511,576,-80
-256,-408,15710,511,575,-77
-256,-399,15706,511,573,-76
-256,-396,15704,511,576,-76
-256,-396,15702,511,577,-78
-256,-393,15702,511,578,-78
-256,-397,15704,511,576,-77
-256,-398,15710,511,575,-77
-256,-401,15707,511,577,-76
-256,-401,15714,511,580,-80
-256,-400,15717,511,579,-78
-256,-399,15716,511,580,-77
-256,-401,15717,511,581,-79
-256,-397,15715,511,582,-79
-256,-404,15704,511,579,-76
-256,-403,15703,511,576,-75
-256,-402,15703,511,575,-76
-256,-409,15698,511,577,-75
-256,-411,15699,511,576,-76
-256,-409,15699,511,576,-75
-256,-407,15702,511,577,-74
-256,-408,15703,511,577,-73
-256,-413,15701,511,576,-71
-256,-413,15699,511,577,-69
-256,-410,15696,511,577,-71
-256,-410,15699,511,576,-69
-256,-408,15707,511,573,-70
-256,-401,15708,511,573,-70
-256,-404,15711,511,575,-71
-256,-400,15715,511,573,-72
-256,-395,15717,511,573,-71
-256,-394,15718,511,573,-70
-256,-390,15719,511,575,-70
-256,-391,15721,511,577,-68
-256,-397,15715,511,577,-65
-256,-395,15709,511,578,-64
-256,-396,15711,511,578,-64
-256,-399,15707,511,577,-64
-256,-399,15698,511,578,-65
-256,-399,15699,511,578,-64
-256,-402,15698,511,579,-67
-256,-403,15700,511,577,-68
-256,-401,15701,511,575,-69
-256,-404,15700,511,573,-71
-256,-402,15699,511,577,-71
-256,-399,15703,511,577,-69
-256,-397,15705,511,576,-72
-256,-398,15702,511,575,-72
-256,-395,15700,511,576,-74
-256,-395,15696,511,577,-76
-256,-394,15698,511,576,-74
-256,-391,15698,511,575,-74
-256,-395,15700,511,573,-77
-256,-395,15701,511,573,-75
-256,-395,15701,511,576,-71
-256,-398,15700,511,577,-72
-256,-404,15702,511,577,-74
-256,-401,15956,256,577,-75
-256,-395,15960,256,575,-74
-256,-395,15710,511,574,-71
-256,-390,15714,511,574,-71
-256,-389,15715,511,572,-73
-256,-392,15714,511,572,-75
-256,-391,15718,511,573,-77
-256,-386,15721,511,573,-75
-256,-384,15724,511,574,-76
-256,-385,15719,511,574,-77
-256,-388,15722,511,574,-73
-256,-385,15971,256,571,-73
-256,-381,15715,511,573,-74
-256,-376,15970,256,573,-74
-256,-375,15966,256,572,-72
-256,-374,15967,256,572,-73
-256,-380,15971,256,572,-73
-256,-371,15975,256,573,-74
-256,-369,15971,256,573,-72
-256,-371,15969,256,572,-73
-256,-373,15968,256,572,-73
-256,-380,15967,256,575,-75
-256,-382,15964,256,576,-75
-256,-384,15964,256,575,-77
-256,-382,15969,256,577,-78
-256,-378,15970,256,575,-79
-256,-379,15974,256,577,-75
-256,-381,15971,256,578,-74
-256,-377,15706,511,576,-75
-256,-376,15698,511,574,-77
-256,-376,15705,511,575,-76
-256,-378,15707,511,574,-77
-256,-374,15706,511,575,-75
-256,-377,15696,511,575,-72
-256,-379,15702,511,573,-76
-256,-385,15704,511,571,-75
-256,-383,15702,511,571,-76
-256,-383,15702,511,573,-77
-256,-383,15701,511,572,-80
-256,-385,15702,511,573,-80
-256,-381,15701,511,573,-77
-256,-383,15703,511,573,-77
-256,-392,15703,511,573,-79
-256,-389,15703,511,574,-78
-256,-391,15709,511,574,-77
-256,-386,15710,511,573,-78
-256,-387,15714,511,573,-78
-256,-390,15709,511,577,-78
-256,-393,15715,511,576,-76
-256,-392,15720,511,575,-73
-256,-401,15721,511,574,-73
-256,-406,15714,511,573,-77
-256,-406,15712,511,573,-78
-256,-406,15715,511,576,-81
-256,-408,15715,511,575,-82
-256,-408,15972,256,575,-77
-256,-408,15973,256,572,-78
-256,-408,15976,256,572,-77
-256,-408,15717,511,573,-78
-256,-411,15714,511,576,-79
-256,-409,15715,511,576,-78
-256,-408,15711,511,577,-75
-256,-408,15704,511,576,-75
-256,-404,15703,511,575,-75
-256,-399,15702,511,574,-72
-256,-394,15703,511,575,-73
-256,-393,15709,511,577,-73
-256,-387,15715,511,577,-74
-256,-386,15711,511,579,-73
-256,-389,15698,511,579,-75
-256,-385,15703,511,578,-75
-256,-389,15703,511,576,-77
-256,-385,15708,511,575,-79
-256,-380,15710,511,575,-78
-256,-378,15714,511,574,-77
-256,-381,15712,511,575,-71
-256,-383,15713,511,576,-71
-256,-385,15714,511,577,-71
-256,-383,15710,511,577,-69
-256,-380,15713,511,577,-70
-256,-376,15717,511,575,-71
-256,-374,15720,511,577,-69
-256,-375,15721,511,577,-68
-256,-375,15715,511,575,-68
-256,-380,15720,511,574,-67
-256,-388,15721,511,574,-68
-256,-392,15722,511,574,-70
-256,-394,15717,511,574,-71
-256,-395,15716,511,575,-71
-256,-394,15711,511,575,-71
-256,-396,15714,511,575,-71
-256,-397,15719,511,576,-73
-256,-394,15718,511,578,-74
-256,-392,15717,511,578,-72
-256,-393,15714,511,577,-74
-256,-392,15716,511,575,-72
-256,-389,15975,256,574,-69
-256,-388,15718,511,575,-70
-256,-380,15980,256,576,-70
-256,-378,15721,511,579,-72
-256,-382,15716,511,579,-71
-256,-385,15721,511,577,-71
-256,-384,15721,511,578,-72
-256,-379,15721,511,580,-74
-256,-387,15718,511,580,-73
-256,-395,15716,511,579,-72
-256,-397,15717,511,579,-73
-256,-394,15712,511,577,-71
-256,-399,15710,511,578,-69
-256,-398,15710,511,577,-71
-256,-396,15719,511,578,-72
-256,-395,15973,256,579,-71
-256,-396,15971,256,579,-73
-256,-404,15971,256,578,-75
-256,-403,15971,256,578,-74
-256,-405,15719,511,579,-74
-256,-407,15719,511,578,-71
-256,-409,15975,256,579,-71
-256,-409,15973,256,579,-72
-256,-409,15970,256,580,-73
-256,-416,15716,511,582,-73
-256,-412,15714,511,581,-72
-256,-405,15719,511,581,-70
-256,-406,15721,511,582,-71
-256,-403,15716,511,581,-70
-256,-401,15709,511,581,-69
-256,-405,15715,511,581,-70
-256,-397,15716,511,577,-71
-256,-401,15712,511,576,-71
-256,-405,15716,511,576,-73
-256,-412,15716,511,578,-73
-256,-407,15719,511,577,-74
-256,-400,15722,511,574,-74
-256,-394,15727,511,576,-75
-256,-390,15726,511,577,-76
-256,-389,15725,511,576,-76
-256,-394,15721,511,575,-76
-256,-393,15716,511,576,-79
-256,-395,15708,511,577,-82
-256,-392,15707,511,578,-79
-256,-394,15716,511,574,-80
-256,-392,15724,511,575,-81
-256,-391,15721,511,573,-80
-256,-393,15719,511,572,-79
-256,-393,15717,511,571,-77
-256,-394,15716,511,570,-74
-256,-392,15713,511,573,-77
-256,-394,15974,256,574,-77
-256,-397,15720,511,574,-72
-256,-398,15718,511,575,-70
-256,-394,15711,511,575,-70
-256,-388,15712,511,573,-70
-256,-389,15712,511,575,-72
-256,-381,15713,511,575,-72
-256,-382,15716,511,574,-75
-256,-386,15716,511,570,-77
-256,-392,15712,511,568,-78
-256,-400,15715,511,572,-78
-256,-400,15712,511,573,-75
-256,-396,15705,511,572,-76
-256,-401,15699,511,575,-81
-256,-401,15699,511,577,-80
-256,-397,15692,511,578,-77
-256,-394,15691,511,577,-77
-256,-394,15695,511,578,-78
-256,-395,15695,511,578,-80
-256,-401,15699,511,578,-80
-256,-402,15696,511,578,-79
-256,-396,15696,511,577,-78
-256,-397,15704,511,578,-81
-256,-395,15709,511,578,-81
-256,-397,15715,511,577,-81
-256,-398,15711,511,577,-80
-256,-404,15710,511,578,-80
-256,-398,15706,511,577,-81
-256,-394,15704,511,579,-81
-256,-394,15705,511,579,-80
-256,-393,15708,511,576,-77
-256,-392,15963,256,577,-78
-256,-396,15962,256,576,-76
-256,-398,15702,511,577,-76
-256,-397,15705,511,579,-73
-256,-394,15705,511,579,-72
-256,-401,15705,511,580,-71
-256,-399,15707,511,580,-71
-256,-392,15711,511,579,-69
-256,-394,15708,511,577,-68
-256,-393,15705,511,577,-68
-256,-388,15704,511,578,-69
-256,-389,15694,511,579,-72
-256,-389,15694,511,577,-71
-256,-395,15699,511,575,-74
-256,-393,15703,511,576,-76
-256,-390,15705,511,576,-73
-256,-387,15705,511,577,-73
-256,-389,15699,511,579,-75
-256,-397,15702,511,578,-77
-256,-396,15700,511,577,-74
-256,-396,15703,511,577,-73
-256,-396,15704,511,578,-70
-256,-395,15702,511,578,-71
-256,-397,15708,511,580,-70
-256,-400,15711,511,579,-70
-256,-406,15708,511,583,-72
-256,-408,15708,511,584,-72
-256,-403,15713,511,583,-73
-256,-402,15706,511,580,-73
-256,-395,15704,511,579,-75
-256,-394,15704,511,580,-75
-256,-392,15704,511,581,-74
-256,-392,15703,511,580,-74
-256,-394,15704,511,580,-73
-256,-393,15706,511,580,-72
-256,-399,15712,511,578,-70
-256,-404,15712,511,577,-74
-256,-406,15710,511,578,-76
-256,-402,15712,511,578,-78
-256,-400,15712,511,574,-78
-256,-401,15710,511,574,-80
-256,-400,15710,511,576,-81
-256,-404,15712,511,579,-80
-256,-404,15710,511,579,-80
-256,-406,15710,511,575,-82
-256,-409,15716,511,574,-82
-256,-411,15720,511,573,-81
-256,-414,15724,511,574,-81
-256,-410,15726,511,571,-78
-256,-405,15726,511,571,-77
-256,-400,15725,511,571,-79
-256,-396,15721,511,570,-77
-256,-394,15715,511,569,-74
-256,-393,15711,511,570,-76
-256,-394,15710,511,570,-77
-256,-390,15714,511,569,-77
-256,-390,15716,511,569,-77
-256,-389,15717,511,571,-77
-256,-390,15718,511,575,-77
-256,-394,15725,511,577,-76
-256,-398,15722,511,577,-74
-256,-401,15717,511,577,-76
-256,-401,15713,511,577,-77
-256,-401,15713,511,578,-75
-256,-404,15708,511,577,-77
-256,-405,15706,511,577,-74
-256,-402,15714,511,576,-76
-256,-406,15719,511,576,-76
-256,-403,15721,511,574,-77
-256,-402,15724,511,573,-78
-256,-402,15725,511,573,-81
-256,-407,15728,511,573,-80
-256,-410,15728,511,573,-80
-256,-399,15729,511,571,-81
-256,-396,15731,511,572,-81
-256,-393,15733,511,573,-80
-256,-392,15738,511,574,-80
-256,-394,15737,511,575,-80
-256,-395,15736,511,576,-78
-256,-396,15738,511,577,-78
-256,-397,15736,511,577,-77
-256,-402,15733,511,578,-80
-256,-401,15728,511,577,-80
-256,-400,15727,511,581,-75
-256,-397,15727,511,580,-77
-256,-402,15724,511,579,-76
-256,-401,15726,511,582,-73
-256,-401,15732,511,580,-74
-256,-398,15735,511,580,-74
-256,-395,15738,511,580,-78
-256,-390,15733,511,582,-76
-256,-385,15733,511,581,-76
-256,-382,15984,256,580,-76
-256,-381,15989,256,580,-74
-256,-385,15988,256,580,-73
-256,-389,15979,256,581,-74
-256,-393,15722,511,580,-73
-256,-396,15715,511,579,-73
-256,-401,15715,511,577,-73
-256,-394,15712,511,577,-72
-256,-390,15711,511,578,-71
-256,-396,15704,511,578,-72
-256,-392,15709,511,579,-71
