Ax,Ay,Az,Gx,Gy,Gz
0,-612,15836,511,557,-88
0,-368,15648,511,577,-95
0,-348,15676,256,565,-82
0,-640,16064,256,572,-70
0,-360,15884,256,564,-96
0,-372,15636,511,570,-91
0,-356,15936,256,555,-70
0,-368,15708,511,568,-85
0,-324,15672,511,591,-106
0,-376,15640,511,574,-61
0,-340,15628,511,561,-69
0,-388,15672,511,545,-75
0,-332,15936,256,593,-85
0,-348,15616,511,562,-87
0,-380,15680,511,568,-71
0,-304,15652,511,593,-90
0,-400,15912,256,582,-80
0,-376,15700,511,595,-121
0,-660,15844,511,561,-95
0,-660,16112,256,549,-63
0,-368,15944,256,580,-61
0,-316,15620,511,600,-100
0,-364,15624,511,562,-87
0,-368,15924,256,578,-99
0,-336,15908,511,570,-96
0,-388,15660,511,556,-94
0,-364,15948,256,570,-104
0,-380,15664,511,615,-76
0,-376,15636,511,570,-122
0,-316,15688,511,585,-60
0,-388,15680,511,559,-57
0,-368,15668,511,584,-80
255,-616,15864,511,564,-87
0,-364,15928,256,583,-83
0,-352,15652,511,572,-98
0,-624,15864,511,572,-93
0,-428,15880,256,565,-93
0,-304,15676,511,585,-106
0,-436,15656,511,560,-64
0,-320,15948,256,571,-86
0,-444,15880,256,548,-81
0,-372,15756,511,584,-50
0,-340,15876,256,564,-86
0,-624,15852,256,570,-76
0,-340,15632,511,559,-62
0,-372,15628,511,584,-70
0,-416,15644,511,560,-91
0,-392,15684,511,598,-76
0,-364,15648,511,556,-57
0,-432,15936,256,587,-84
0,-328,15888,256,575,-93
0,-352,15676,511,564,-121
0,-400,15652,511,564,-52
0,-376,15900,256,558,-74
0,-688,16120,256,550,-70
0,-320,15980,256,570,-93
0,-364,15636,511,568,-90
0,-368,15708,511,591,-63
0,-376,15912,256,546,-43
0,-348,15872,256,582,-74
0,-652,15828,511,584,-95
0,-416,15684,511,584,-77
0,-384,15908,256,598,-80
0,-376,15632,511,552,-112
0,-328,15652,511,569,-42
0,-376,15664,511,569,-120
0,-288,15684,511,572,-84
0,-388,15928,256,578,-81
0,-380,15664,256,564,-89
0,-400,15908,256,577,-54
0,-372,15616,511,557,-100
0,-604,16124,256,565,-99
0,-400,15872,256,576,-44
0,-376,15644,511,549,-94
0,-392,15648,511,580,-36
0,-360,15676,511,609,-98
0,-628,16116,256,567,-107
0,-432,15952,256,551,-64
0,-360,15932,256,584,-92
0,-356,15628,511,611,-60
0,-336,15932,256,543,-67
0,-412,15652,511,554,-78
0,-384,15696,511,557,-80
0,-328,15924,256,578,-124
0,-356,15912,256,599,-66
0,-408,15672,511,575,-100
0,-612,16124,256,606,-93
255,-356,15672,511,569,-92
0,-388,15648,511,617,-82
0,-408,15952,256,586,-71
0,-412,15724,511,566,-81
0,-348,15912,256,570,-73
0,-364,15664,511,592,-86
0,-396,15904,256,550,-80
0,-380,15680,511,572,-59
0,-440,15688,511,589,-87
0,-400,15892,256,572,-81
0,-352,15628,511,589,-102
0,-580,15860,511,581,-90
0,-356,15656,511,567,-67
0,-400,15932,256,567,-127
0,-416,15652,511,577,-72
0,-336,15888,256,560,-109
0,-396,15700,511,563,-59
0,-368,15892,256,555,-58
0,-396,15652,511,610,-105
0,-376,15888,256,567,-107
0,-372,15668,511,555,-79
0,-412,15632,511,611,-70
0,-372,15720,511,572,-83
0,-380,15960,256,562,-62
0,-644,16100,256,559,-75
0,-368,15660,511,588,-70
0,-404,15664,511,583,-89
0,-384,15684,511,563,-114
0,-348,15656,511,602,-78
0,-648,15864,511,586,-79
0,-384,15872,256,573,-111
0,-384,15632,511,567,-99
0,-360,15660,511,596,-86
0,-332,15872,256,588,-70
0,-356,15704,511,568,-99
0,-380,15692,511,576,-83
0,-384,15680,511,603,-89
0,-384,15652,511,574,-93
0,-344,15644,511,561,-92
0,-360,15628,511,590,-85
0,-348,15632,511,579,-86
0,-408,15900,256,580,-74
0,-624,16120,256,586,-86
0,-376,15900,256,544,-81
0,-376,15692,511,555,-76
0,-368,15700,511,588,-61
0,-656,15868,511,582,-87
0,-652,15836,511,602,-66
0,-328,15644,511,601,-100
0,-636,15832,256,588,-87
0,-316,15904,256,588,-50
0,-372,15732,511,570,-92
0,-400,15880,256,569,-84
0,-372,15648,511,585,-59
0,-356,15928,256,563,-79
0,-312,15672,511,556,-68
0,-292,15960,256,571,-68
0,-340,15704,511,567,-71
0,-372,15704,511,596,-105
0,-368,15924,256,570,-66
0,-400,15912,256,557,-100
0,-372,15944,256,575,-44
0,-324,15916,256,577,-80
0,-328,15924,256,589,-86
0,-396,15688,511,579,-83
0,-324,15640,511,602,-77
0,-380,15648,511,591,-64
0,-344,15660,511,577,-70
0,-348,15628,511,593,-57
0,-360,15628,511,573,-80
0,-424,15640,511,587,-55
0,-316,15984,256,566,-84
0,-344,15624,511,579,-99
0,-272,15892,256,590,-68
0,-300,15640,511,567,-93
0,-384,15672,511,570,-85
0,-392,15896,256,569,-95
0,-368,15924,256,578,-106
0,-576,15856,511,576,-89
0,-376,15936,256,556,-73
0,-400,15908,256,549,-54
0,-616,16124,256,593,-93
0,-364,15688,511,573,-58
0,-384,15616,511,597,-71
0,-596,15848,511,572,-64
0,-384,15920,256,569,-67
0,-332,15632,511,569,-83
0,-400,15636,511,555,-77
0,-332,15688,511,580,-73
0,-392,15660,511,584,-88
0,-372,15676,511,553,-106
